sku,marca,nome_produto,categoria,peso_kg,comprimento,largura,altura,estoque_erp,status_produto
SKU-00001,,Cabo USB-C Reforçado 2m,Celulares e Acessórios,11.33,105.5,46.6,8.0,327.0,Ativo
SKU-00002,Dell,Dell Headset Gamer 7.1,Informática,40.75,55.3,76.0,14.9,377.0,Inativo
SKU-00003,Genius,Genius Air Fryer 4L Digital,Eletrodomésticos,17.44,30.8,28.9,7.7,216.0,Ativo
SKU-00004,Fortrek,Fortrek Serra Tico-Tico 400W,Ferramentas,6.33,56.6,5.4,6.6,119.0,Ativo
SKU-00005,Ventisol,Furadeira de Bancada 350W,Ferramentas,5.09,39.6,8.6,26.3,279.0,Ativo
SKU-00006,Targus,"Monitor LED 24"" Full HD",Informática,0.84,32.8,15.8,26.9,412.0,Ativo
SKU-00007,Philips,"Philips Air Fryer 5,5L Digital",Cozinha,16.29,67.6,64.0,31.4,490.0,Ativo
SKU-00008,Brastemp,"Brastemp Smart TV LED 40""",TV e Áudio,0.83,44.7,60.0,38.4,49.0,Ativo
SKU-00009,Cadence,Cadence Soundbar 2.1 120W,Eletrônicos,28.96,83.7,78.6,29.8,235.0,Inativo
SKU-00010,,Placa Mãe B550,Informática,0.0,96.0,71.4,20.3,150.0,Ativo
SKU-00011,Elgin,Elgin Desumidificador 10L/dia,Cozinha,16.13,104.6,29.9,9.2,360.0,Ativo
SKU-00012,Panasonic,Panasonic Suporte Ar Condicionado Carro,Celulares e Acessórios,8.49,47.2,64.8,17.5,437.0,Ativo
SKU-00013,Multilaser,"Multilaser Cabo USB-C 1,5m",Informática,14.52,81.0,28.0,37.0,232.0,Ativo
SKU-00014,Consul,Consul Conversor Digital Full HD,TV e Áudio,19.63,96.0,9.3,40.9,107.0,Ativo
SKU-00015,Ventisol,Ventisol Furadeira de Impacto 650W,Ferramentas,19.77,32.1,53.4,23.0,325.0,Ativo
SKU-00016,Brastemp,Brastemp Espremedor de Frutas Elétrico,Cozinha,34.36,65.9,34.9,39.7,138.0,Descontinuado
SKU-00017,Oster,Oster Coifa de Parede 60cm,Eletrodomésticos,25.32,34.9,38.5,59.8,431.0,Ativo
SKU-00018,Arno,Arno Soundbar 2.1 150W,TV e Áudio,40.45,15.1,56.1,51.0,412.0,Ativo
SKU-00019,Dewalt,Dewalt SSD SATA 480GB,Informática,32.06,78.3,64.5,31.5,467.0,Descontinuado
SKU-00020,Philco,Pistola de Pintura Elétrica 350W,Ferramentas,25.8,118.0,14.7,53.3,452.0,Ativo
SKU-00021,Intelbras,Intelbras Cabo Óptico Toslink 2m,Cozinha,3.41,78.9,38.7,41.4,126.0,Ativo
SKU-00022,Lenovo,Lenovo Climatizador de Ar 45L,Climatização,40.99,,,,219.0,Ativo
SKU-00023,Asus,Asus Jogo de Copos 6 Peças 350ml,Utilidades Domésticas,42.35,290.7,141.6,105.8,46.0,Ativo
SKU-00024,Genius,Genius Porta Detergente e Esponja,Utilidades Domésticas,26.67,24.7,51.8,54.3,405.0,Inativo
SKU-00025,Philco,Batedeira 400W 8 Velocidades,Cozinha,,93.7,24.8,14.2,195.0,Ativo
SKU-00026,Cadence,Micro-ondas 20L,Eletrodomésticos,43.05,97.5,56.4,19.3,369.0,Ativo
SKU-00027,Redragon,Redragon Nível a Laser 10m,Ferramentas,27.34,87.6,60.1,51.9,328.0,Ativo
SKU-00028,Stanley,Stanley Leitor de Cartão SD USB 3.0,Eletrônicos,5.6,21.2,8.8,56.8,448.0,Ativo
SKU-00029,Fischer,Vaso de Cerâmica Grande,Decoração,8.62,119.5,40.0,53.0,320.0,Ativo
SKU-00030,Tramontina,Tramontina Case à Prova d'Água,Celulares e Acessórios,15.94,,,,191.0,Ativo
SKU-00031,Samsung,Samsung Home Theater 5.1 Canais,TV e Áudio,39.72,92.8,32.4,25.2,0.0,Ativo
SKU-00032,Panasonic,Panasonic Pen Drive 64GB USB 3.0,Eletrônicos,34.42,118.7,56.0,8.9,0.0,Ativo
SKU-00033,Brastemp,,Eletrônicos,9.04,62.5,8.4,9.9,449.0,Inativo
SKU-00034,Genius,Genius Umidificador Ultrassônico 5L,Climatização,41.92,50.2,51.2,50.9,248.0,Ativo
SKU-00035,Fischer,Fischer Aquecedor a Óleo 7 Aletas,Climatização,36.73,270.2,106.1,119.1,243.0,Inativo
SKU-00036,Elgin,Elgin Secadora de Roupas 10kg,Eletrodomésticos,34.95,88.0,48.8,11.9,493.0,Ativo
SKU-00037,Tramontina,Carregador Rápido 30W,Celulares e Acessórios,0.0,17.6,6.4,20.2,365.0,Ativo
SKU-00038,Springer,Springer Adesivo de Parede Floral,Decoração,39.29,12.2,15.4,14.0,61.0,Descontinuado
SKU-00039,Multilaser,Multilaser Cabo Óptico Toslink 2m,TV e Áudio,24.04,82.7,70.1,41.5,10.0,Ativo
SKU-00040,Tramontina,Tramontina Forno Elétrico 46L com Grill,Cozinha,13.5,118.0,62.8,42.9,,Ativo
SKU-00041,Bosch,Bosch Switch 8 Portas Gigabit,Eletrônicos,25.85,108.0,34.6,22.0,16.0,Inativo
SKU-00042,Philips,"Philips Panela de Pressão 4,5L",Utilidades Domésticas,19.96,60.1,20.2,33.2,109.0,Ativo
SKU-00043,NKS,NKS Forma de Bolo Redonda 26cm,Utilidades Domésticas,2.38,31.0,22.5,7.8,208.0,Ativo
SKU-00044,Electrolux,Placa de Vídeo GTX 1650 4GB,Informática,44.01,80.1,71.0,29.6,220.0,Ativo
SKU-00045,Mondial,Mondial Organizador de Armário 3 Gavetas,Utilidades Domésticas,4.12,66.5,59.2,56.3,334.0,Inativo
SKU-00046,Britânia,Cabo USB-C Reforçado 2m,Celulares e Acessórios,17.93,112.7,77.2,55.7,372.0,Ativo
SKU-00047,Esmaltec,Esmaltec Filtro de Água para Torneira,Utilidades Domésticas,44.51,61.8,75.4,51.4,274.0,Ativo
SKU-00048,Redragon,Redragon Caixa de Som Bluetooth 20W,Informática,32.37,,,,127.0,Inativo
SKU-00049,Multilaser,Depurador de Ar 80cm,Cozinha,28.78,54.2,29.6,25.2,25.0,Ativo
SKU-00050,Tramontina,Tramontina Martelete Rompedor 800W,Ferramentas,89.9,160.6,193.0,94.6,208.0,Ativo
SKU-00051,Tramontina,Tramontina Purificador de Água Compacto,Eletrodomésticos,,40.3,35.4,31.1,194.0,Inativo
SKU-00052,Makita,Makita Cesto Organizador de Plástico 5L,Utilidades Domésticas,116.33,60.0,39.1,59.4,216.0,Ativo
SKU-00053,Acer,Desumidificador 10L/dia,Climatização,30.65,95.5,44.4,32.6,249.0,Ativo
SKU-00054,Mallory,Mallory Mixer 200W com Copo,Cozinha,9.18,23.9,69.1,27.6,296.0,Ativo
SKU-00055,Genius,Genius Forno Elétrico 46L com Grill,Cozinha,2.6,52.8,47.3,34.4,244.0,Inativo
SKU-00056,Electrolux,Electrolux Panela Elétrica de Arroz 10 Xícaras,Eletrodomésticos,26.07,,,,0.0,Ativo
